County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,12452
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,16821
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,17665
Snohomish,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11922
Snohomish,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,12452
Snohomish,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,20325
Snohomish,ALL,ALL,ALL,ALL,ALL,ALL,ALL,21439
Clark,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
Clark,ALL,ALL,ALL,ALL,ALL,ALL,ALL,10675
ALL,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
ALL,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11900
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,15254
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),22829
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,23961
ALL,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10955
ALL,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11543
ALL,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
ALL,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,15254
ALL,Seattle,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),28620
ALL,Seattle,ALL,ALL,ALL,ALL,ALL,ALL,30045
ALL,ALL,2018,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11978
ALL,ALL,2018,ALL,ALL,ALL,ALL,ALL,14291
ALL,ALL,2021,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,11005
ALL,ALL,2021,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,14641
ALL,ALL,2021,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,15191
ALL,ALL,2021,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,14641
ALL,ALL,2021,ALL,ALL,ALL,ALL,ALL,19034
ALL,ALL,2020,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10398
ALL,ALL,2020,ALL,ALL,ALL,ALL,ALL,11851
ALL,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,28609
ALL,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,10961
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,51142
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,10961
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,51142
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,12082
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24161
ALL,ALL,2023,ALL,ALL,ALL,ALL,ALL,58393
ALL,ALL,2022,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,13773
ALL,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,23557
ALL,ALL,2022,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,23557
ALL,ALL,2022,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10721
ALL,ALL,2022,ALL,ALL,ALL,ALL,ALL,27922
ALL,ALL,2019,ALL,ALL,ALL,ALL,ALL,10922
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,13808
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,30150
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,37007
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10473
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,25510
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11304
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24320
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,55309
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,16016
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),34793
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,80819
ALL,ALL,ALL,CHEVROLET,ALL,ALL,ALL,ALL,13864
ALL,ALL,ALL,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,ALL,NISSAN,LEAF,Battery Electric Vehicle (BEV),ALL,ALL,13356
ALL,ALL,ALL,NISSAN,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,ALL,NISSAN,ALL,Battery Electric Vehicle (BEV),ALL,ALL,14037
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,13808
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,30150
ALL,ALL,ALL,ALL,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,ALL,ALL,LEAF,Battery Electric Vehicle (BEV),ALL,ALL,13356
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,37007
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,ALL,19903
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,ALL,19582
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12939
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,ALL,39485
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,47234
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,19610
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),37901
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,29018
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25633
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),54241
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,141973
ALL,ALL,ALL,ALL,ALL,ALL,Not eligible due to low battery range,ALL,19912
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,13191
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12276
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22910
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,66816
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,19610
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),37901
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),32012
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,36705
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),67180
ALL,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,181458
Pierce,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,10698
Pierce,ALL,ALL,ALL,ALL,ALL,ALL,ALL,14043
